id,nombre,latitud,longitud
9422518,OXXO SUC 508PV DEGOLLADO TIJ,32.56120042,-116.6342687
9427471,OXXO SUC 508QN MERIDA MXL,32.6441654,-115.4943202
6854915,OXXO SUC 508RD LEALTAD TIJ,32.52271671,-116.8696524
9392875,OXXO SUC 508U3 TURIA MXL,32.58495801,-115.3355535
9422519,OXXO SUC 508UZ SISNEAGAS TIJ,32.51182945,-117.0448535
6701538,OXXO SUC 508XL ETIOPIA TIJ,31.88255211,-116.6142236
9397644,OXXO SUC 508XQ AMANECER TIJ,32.36235015,-116.915596
9415221,OXXO SUC 508ZP CARL ZEISS TIJ,32.48279548,-116.9231871
9415222,OXXO SUC 5090I OLACHEA TIJ,32.52080443,-116.9423383
9439263,OXXO SUC 5091Y BELMONTE TIJ,32.50956657,-116.8559927
9442243,OXXO SUC 5092K VERSALLES,32.63211342,-115.4964527
6850919,OXXO SUC 5096M MILAN TIJ,32.4551785,-117.0359022
9393503,OXXO SUC 5096O MONTILLA TIJ,32.4703354,-116.9240662
6850920,OXXO SUC 50989 CAMICHIN TIJ,32.46553323,-116.9055564
9438321,OXXO SUC 5098P 27 DE ENERO MXL,32.62931623,-114.8569416
9393504,OXXO SUC 509AF JUPITER TIJ,32.4440826,-116.9940553
6846417,OXXO SUC 509BF UXMAL MXL,32.64007127,-115.4954482
9416108,OXXO SUC 509CZ BARCELONA TIJ,32.43687501,-116.987707
9436437,OXXO SUC 509ER MALDONADO TIJ,32.55808001,-116.6308809
9468329,OXXO SUC 509F3 NEVADOS TIJ,32.37814628,-116.9344268
9453328,OXXO SUC 509GF Y GRIEGA TIJ,32.41129814,-116.9503812
9422556,OXXO SUC 509GW PERAL TIJ,32.4427609,-117.0579143
9416115,OXXO SUC 509H9 CHAPINGO TIJ,32.45239551,-116.9911423
6851372,OXXO SUC 509L5 MARSELLA TIJ,32.51445019,-116.9155641
9422557,OXXO SUC 509PV OPORTO TIJ,32.4471726,-117.0593881
9427472,OXXO SUC 509QD PRIMERA MXL,32.61295744,-115.3998326
6851185,OXXO SUC 509R5 GONZALEZ TIJ,32.51135311,-117.0556667
9438322,OXXO SUC 509S5 PLAZA LAZARO MXL,32.62493659,-115.4339115
6852020,OXXO SUC 509SI SEGOVIA MXL,32.65058123,-115.3749642
9397651,OXXO SUC 509T9 KILAUEA TIJ,32.55154452,-116.8788074
6851771,OXXO SUC 509TO TAURINAS TIJ,32.53336776,-116.9820537
6283535,OXXO SUC 509Y0 CARLOTA TIJ,32.53094131,-116.9931102
6852021,OXXO SUC 509ZD CIBELES MXL,32.62475416,-115.4204692
9393512,OXXO SUC 50A1N HACIENDA LAURELES TIJ,32.43945952,-116.9657544
9393513,OXXO SUC 50A6E PARALELO 28 TIJ,32.56510346,-116.6556813
9438258,OXXO SUC 50A6M DILUVIO MXL,32.59123692,-115.3355209
6851677,OXXO SUC 50A6P TIZOC TIJ,32.5189603,-117.0723861
9464086,OXXO SUC 50A7M SAN PEDRO MARTIR TIJ,30.9779303,-116.1593793
9438259,OXXO SUC 50A7Y TEXCOCO MXL,32.60590754,-115.4546887
9456805,OXXO SUC 50A8B PUERTA PLATA TIJ,32.40772544,-116.9121321
9433442,OXXO SUC 50A8N MANUEL ACUNA MXL,32.66782493,-115.4230477
9419602,OXXO SUC 50A96 PLANICIE TIJ,32.52748811,-116.8646776
6851270,OXXO SUC 50A9C VERDAD TIJ,32.52225044,-117.0414446
6287267,OXXO SUC 50AAC ANAHUAC MXL,32.62288205,-115.4792107
6282728,OXXO SUC 50AAU TULA MXL,32.59249647,-115.3589624
6283538,OXXO SUC 50ABI ALTA BRISA II TIJ,32.53071708,-116.9773618
6283534,OXXO SUC 50ABR ALBA ROJA TIJ,32.49726949,-116.9839693
6287334,OXXO SUC 50AEK ALDRETE TIJ,32.57478639,-116.6101556
6282711,OXXO SUC 50AFQ AFRODITA MXL,32.6005788,-115.354686
6286151,OXXO SUC 50AGH ALVARADO TIJ,32.37625576,-117.0523368
6286175,OXXO SUC 50AGQ ANGELES TIJ,32.49323077,-116.8611352
6287300,OXXO SUC 50AGT ARGENTINA MXL,32.66730722,-115.4523815
6285885,OXXO SUC 50AGX AGRICOLA MXL,32.58965695,-115.4710305
6286154,OXXO SUC 50AHB ALDAMA TIJ,32.50139497,-116.8902002
6286249,OXXO SUC 50AHJ SANTA ANITA TIJ,32.54171409,-116.6498812
6287265,OXXO SUC 50AIF ALARCON MXL,32.59387245,-115.5759064
6780641,OXXO SUC 50AKM ANDALUCIA TIJ,32.56636442,-116.585437
6780684,OXXO SUC 50AKN ATENAS TIJ,32.50238259,-116.8607683
6285155,OXXO SUC 50AKO CHIHUAHUA TIJ,32.53792566,-117.0397501
6285150,OXXO SUC 50AKP GORMAN TIJ,32.52313439,-117.0151842
6287389,OXXO SUC 50ALI CALIFORNIA TIJ,32.5414503,-116.9976687
6287128,OXXO SUC 50ALS ALAMOS TIJ,32.50960897,-116.9535913
6287137,OXXO SUC 50ALZ VILLAS DE ALCAZAR TIJ,32.46054502,-116.9234755
6851271,OXXO SUC 50AM3 MORSE TIJ,32.47141846,-116.9493493
6285121,OXXO SUC 50AMB EJIDO B. JUAREZ MXL,32.55152278,-115.2168969
6285012,OXXO SUC 50AME TABASCO MXL,32.64961246,-115.5044238
6283539,OXXO SUC 50AMP OCAMPO TIJ,32.52475893,-117.0309979
6286080,OXXO SUC 50ANT SAN ANTONIO TIJ,32.44144838,-117.0374635
6283654,OXXO SUC 50ANU ANAHUAC II MXL,32.62023576,-115.4789472
6787798,OXXO SUC 50AOB BITZ TIJ,32.40668625,-116.9406921
6288336,OXXO SUC 50AOV ANGELES DE PUEBLA MXL,32.55958889,-115.3397449
6285148,OXXO SUC 50ARF JADE TIJ,32.50668346,-116.7332844
6287069,OXXO SUC 50ARL MONTECARLO MXL,32.64306091,-115.399305
6287390,OXXO SUC 50ATV ALTA BRISA TIJ,32.53012548,-116.9708419
6791357,OXXO SUC 50AUP SAN LUCAS LAP,32.58994552,-115.4308686
6284032,OXXO SUC 50AWH AHUEHUETE TIJ,31.88901874,-116.5943362
6287446,OXXO SUC 50AWN ANAHUAC TIJ,32.46463136,-116.9110214
6780455,OXXO SUC 50AWV MELENDREZ TIJ,31.7922545,-116.5842815
6787849,OXXO SUC 50B2A GAS HIDALGO MXL,32.61387084,-115.4605837
9435487,OXXO SUC 50B5O DORIAN TIJ,32.53528998,-117.0038035
6851272,OXXO SUC 50B6Q DEL TRIGO TIJ,32.5244392,-116.8888834
6286258,OXXO SUC 50BAP PUNTA BANDA TIJ,31.82768258,-116.6028694
6287114,OXXO SUC 50BAT BELLAS ARTES TIJ,32.54386355,-116.9368204
6285949,OXXO SUC 50BCR EL REY MXL,32.6010934,-115.4834322
6286085,OXXO SUC 50BET BETA TIJ,32.46383585,-116.8654219
6287303,OXXO SUC 50BEW BUGAMBILIAS MXL,32.60248262,-115.3746938
6285933,OXXO SUC 50BFG V. DE LOS ANGELES MXL,32.62658205,-115.5672025
9400132,OXXO SUC 50BFI BONFIL TIJ,32.34457731,-117.0519636
6285029,OXXO SUC 50BGH BALBOA TIJ,31.85794873,-116.6063873
9400133,OXXO SUC 50BJX VELASCO TIJ,32.53995765,-117.003086
6287296,OXXO SUC 50BJZ BENITO JUAREZ MXL,32.63905398,-115.4234184
6282709,OXXO SUC 50BKZ MERCED MXL,32.5660921,-115.3419994
6285003,OXXO SUC 50BLP QUERETARO MXL,32.65264891,-115.4880571
9466970,OXXO SUC 50BM1 RANCHITO MXL,32.64528687,-115.3192405
6282730,OXXO SUC 50BMU DEL PUERTO MXL,31.02569357,-114.8421178
6790280,OXXO SUC 50BMX RODEO TIJ,32.48426156,-116.568969
6780605,OXXO SUC 50BOI PARQUE CENTENARIO MXL,32.5993066,-115.3603144
6282658,OXXO SUC 50BQH ESTERO BEACH TIJ,31.78252369,-116.6044133
6286170,OXXO SUC 50BQW DEL BOSQUE TIJ,32.50420589,-116.8424373
6287086,OXXO SUC 50BRA LIBRAMIENTO TIJ,32.52740124,-117.0850042
6283386,OXXO SUC 50BRS BRASIL MXL,32.66651909,-115.4439448
9397051,OXXO SUC 50BS3 ODONTOLOGOS MXL,32.62694029,-115.5138623
6282754,OXXO SUC 50BSW BALSAS MXL,32.56218141,-115.3654562
6287360,OXXO SUC 50BUA BUENOS AIRES TIJ,32.50462283,-116.889485
9392810,OXXO SUC 50BV2 PLAYACAR MXL,32.63237143,-115.4231913
6285100,OXXO SUC 50BVD SERDAN TIJ,32.09386963,-116.8529682
6285165,OXXO SUC 50BVH AVANTE TIJ,32.34170891,-117.0571875
6282964,OXXO SUC 50BWJ LAS PLAZAS TIJ,32.48169705,-116.9951183
6287361,OXXO SUC 50BYO ABETO TIJ,32.44352598,-117.0627432
6282721,OXXO SUC 50BYQ ANDADOR MXL,32.6635766,-115.4960894
6854883,OXXO SUC 50BZX MADRID MXL,32.59861281,-115.4615238
9462254,OXXO SUC 50C1K SEPTIEMBRE TIJ,32.35065215,-117.0557829
9411757,OXXO SUC 50C1X SERVICIO TIJ,32.56692827,-116.641059
6851273,OXXO SUC 50C47 EUCALIPTO TIJ,32.4862202,-117.0222983
6780507,OXXO SUC 50C5B LEGISLACION TIJ,32.49512318,-117.036636
9411758,OXXO SUC 50C8R ASADERO TIJ,32.50967882,-116.9121077
6287132,OXXO SUC 50CAD CERRO COLORADO TIJ,32.47980516,-116.9158815
6287269,OXXO SUC 50CAL CALAFIA MXL,32.63473711,-115.4523664
6780622,OXXO SUC 50CCL KENWORTH MXL,32.60427087,-115.4285521
6780568,OXXO SUC 50CCN ACUEDUCTO TIJ,32.47439357,-116.7909591
6780534,OXXO SUC 50CCP TANAMA TIJ,32.52049871,-116.6244262
6285906,OXXO SUC 50CCW CENTRO CIVICO MXL,32.63940155,-115.4721337
6286108,OXXO SUC 50CDD CANADAS TIJ,32.47323414,-116.8597593
6286765,OXXO SUC 50CFT COMONFORT TIJ,32.49194506,-116.9089529
6284033,OXXO SUC 50CFZ CALZADA TIJ,31.86601538,-116.5839559
6286101,OXXO SUC 50CGA CAREAGA TIJ,32.52297515,-117.0745429
6780586,OXXO SUC 50CIW BRIZUELAS TIJ,32.36632206,-116.6150184
6283673,OXXO SUC 50CJL CARBAJAL MXL,32.62087208,-115.4230395
6284792,OXXO SUC 50CKB CARIBE MXL,31.02588851,-114.842626
6286171,OXXO SUC 50CKO BUENA VISTA TIJ,32.52134208,-116.9866348
6285947,OXXO SUC 50CKP CHEAP MXL,32.60894868,-115.4051728
6854865,OXXO SUC 50CKV BACHILLERES MXL,32.63202779,-114.8641397
6847083,OXXO SUC 50CM0 CLUB CAMPESTRE TIJ,32.51236338,-117.0019319
6707120,OXXO SUC 50CMT VILLA CORTEZ MXL,32.60666156,-115.3461187
6780596,OXXO SUC 50CNO JUAN OJEDA TIJ,32.51985647,-116.9825751
6701583,OXXO SUC 50COA JEREZ MXL,32.62870527,-115.4633833
6282988,OXXO SUC 50COJ CIERVO ROJO TIJ,32.35133876,-117.0502363
6287089,OXXO SUC 50COS COSTA AZUL TIJ,32.51157842,-117.1201234
6285902,OXXO SUC 50CPI CAMPANARIO MXL,32.60898346,-115.4884803
6282910,OXXO SUC 50CQF AVILES TIJ,32.49826349,-116.9677824
6286172,OXXO SUC 50CQW MACLOVIO TIJ,32.5433874,-116.6324692
6287295,OXXO SUC 50CRU CRUCERO MXL,32.64331673,-115.477067
6284790,OXXO SUC 50CRX CAMINO REAL TIJ,31.77105011,-116.5734912
6285900,OXXO SUC 50CTA CALLE CUARTA MXL,32.61423753,-115.3929551
6283433,OXXO SUC 50CTN CASTELLON MXL,32.61371163,-115.455448
6283145,OXXO SUC 50CUC CUCAPAH MXL,32.62289655,-115.4728073
6283447,OXXO SUC 50CUT CUAUHTEMOC MXL,32.65779325,-115.4433138
9395737,OXXO SUC 50CV3 CHAPARRAL TIJ,32.54033091,-117.0313286
9466322,OXXO SUC 50CVE EJERCITO TIJ,31.85301846,-116.605315
6796253,OXXO SUC 50CWL ACAPONETA TIJ,32.49209242,-116.8765053
6701480,OXXO SUC 50CWS CAOBA II TIJ,32.51284734,-117.0614959
6284789,OXXO SUC 50CWV CORDOVA TIJ,32.48388379,-116.9321999
9465293,OXXO SUC 50CX8 MAGDALENA TIJ,32.48079684,-117.0346756
6287441,OXXO SUC 50CXE CEDRO TIJ,31.90608664,-116.591888
9395738,OXXO SUC 50CY8 VILLA COLONIAL TIJ,31.83350577,-116.6009933
6287090,OXXO SUC 50CYT CONSTITUYENTES TIJ,31.88115926,-116.6017717
9459782,OXXO SUC 50D0I SURTIDORA TIJ,30.47558914,-115.9155954
9453724,OXXO SUC 50D3S NIAGARA MXL,32.6131376,-115.4880486
6846993,OXXO SUC 50D42 HERACLIO BERNAL TIJ,32.53158956,-117.0760439
9435488,OXXO SUC 50D65 MALIBAT TIJ,32.4908477,-117.0697531
9419603,OXXO SUC 50D78 EASY PARK TIJ,32.5396208,-117.0289998
6288372,OXXO SUC 50D7T TERMINAL AEREA TIJ,32.54627687,-116.9747385
9433444,OXXO SUC 50D9R CAMINO REAL MXL,32.57775538,-115.4251524
6780639,OXXO SUC 50DAL HIDALGO TIJ,32.52383298,-117.0206611
9465352,OXXO SUC 50DB4 NACIONALISTA MXL,32.63457524,-115.5186933
6790421,OXXO SUC 50DBA TECATE TIJ,32.56847102,-116.6340753
6286169,OXXO SUC 50DBN EL DORADO TIJ,32.49795321,-116.8619375
6851274,OXXO SUC 50DE7 AVENIDA G TIJ,32.53629231,-117.0418198
6287112,OXXO SUC 50DEO MONTES DE OCA TIJ,32.50621652,-116.8653768
6286148,OXXO SUC 50DFJ DF TIJ,32.36504022,-117.0501662
6850921,OXXO SUC 50DFL GALERIAS MXL,32.6225975,-115.510324
6851275,OXXO SUC 50DI8 DATILEROS TIJ,32.50332362,-116.968684
6287395,OXXO SUC 50DIJ MANUEL GOMEZ TIJ,32.39952092,-117.0523144
6780476,OXXO SUC 50DJO MEDITERRANEO TIJ,30.70992702,-115.9888877
6282752,OXXO SUC 50DKL EL ARBOLITO MXL,32.61739814,-115.4289201
